Bait	Prey	Abundance	Z	S	D	WD	WDv2
EBOV_VP35	A0A0U1RRE5	4.5	-0.400802408028101	2.12132034355964	2.12132034355964	2.12132034355964	2.12132034355964
EBOV_VP35	A1KXE4	2	-0.912870929175274	1.4142135623731	1.4142135623731	1.4142135623731	1.4142135623731
EBOV_VP35	A6NDG6	6.33333333333333	-1.1595420713049	2.51661147842358	2.51661147842358	2.51661147842358	2.51661147842358
EBOV_VP35	A8CG34	1.33333333333333	2.04124145231932	2.82842712474619	16.9705627484771	26.5603660728077	5.96725615575025
EBOV_VP35	A8K7I4	1	0	1.22474487139159	1.5	1.5	1.26683455545722
EBOV_VP35	E9PAV3	13.6666666666667	1.13218663158148	3.69684550213647	3.69684550213647	3.69684550213647	3.69684550213647
EBOV_VP35	O00170	5.66666666666667	-0.968474709226497	2.38047614284762	2.38047614284762	2.38047614284762	2.38047614284762
EBOV_VP35	O00178	2.25	0.978290325938045	1.6431676725155	2.16	2.16	1.71979702596786
EBOV_VP35	O00244	11.3333333333333	1.64991582276861	3.36650164612069	3.36650164612069	3.36650164612069	3.36650164612069
EBOV_VP35	O00411	2	1.54417889146461	2.44948974278318	38.1837661840736	47.8856511059591	4.85515146394454
EBOV_VP35	O00425	4.83333333333333	1.42857142857143	3.80788655293195	59.3590768122281	74.0337760755184	7.50632366883833
EBOV_VP35	O00458	7	1.0425638589921	3.24037034920393	3.24037034920393	3.5197473855626	3.5197473855626
EBOV_VP35	O00479	1.75	0.259794366658822	1.3228756555323	1.3228756555323	1.3228756555323	1.3228756555323
EBOV_VP35	O00483	2.66666666666667	0.0822840450314131	1.63299316185545	1.63299316185545	1.63299316185545	1.63299316185545
EBOV_VP35	O00541	2.5	0	1.73205080756888	2.73220789838548	2.80849090447964	1.92093244725541
EBOV_VP35	O00566	1	2.04124145231932	2.44948974278318	6	9.39050748043972	4.45101825354241
EBOV_VP35	O00567	25.5	1.23174477812913	6.18465843842649	17.042914583486	19.6986661186964	8.46408526168202
EBOV_VP35	O00571	5.16666666666667	-0.927254396687469	2.27303028283098	2.27303028283098	2.27303028283098	2.27303028283098
EBOV_VP35	O14654	16.8333333333333	2.0318990258026	4.10284454169706	4.10284454169706	4.85707651696447	4.85707651696447
EBOV_VP35	O14734	1	0.221403721385024	1.22474487139159	1.22474487139159	1.22474487139159	1.22474487139159
EBOV_VP35	O14757	2.33333333333333	0.59153488162984	1.52752523165195	1.52752523165195	1.52752523165195	1.52752523165195
EBOV_VP35	O14933	2.5	-0.197704145962678	1.58113883008419	1.58113883008419	1.58113883008419	1.58113883008419
EBOV_VP35	O14965	1.75	0.889460083706025	1.44913767461894	1.90494094396651	1.90494094396651	1.51671841207315
EBOV_VP35	O15042	61	0.283872568810881	7.81024967590665	7.81024967590665	7.81024967590665	7.81024967590665
EBOV_VP35	O15160	1.8	0.77151674981046	2.32379000772445	20.9141100695201	26.6208376158771	4.26598795696912
EBOV_VP35	O15226	39.3333333333333	2.03979606120266	10.8627804912002	169.333989500041	259.206669177753	26.281101128558
EBOV_VP35	O15235	7.16666666666667	1.27906596091058	2.67706306736817	2.67706306736817	2.67706306736817	2.67706306736817
EBOV_VP35	O15347	6.5	0.168032837875403	2.54950975679639	2.54950975679639	2.54950975679639	2.54950975679639
EBOV_VP35	O15446	2.16666666666667	0.999945921098844	2.08166599946613	11.7756811551038	13.0526287867528	3.0800102561964
EBOV_VP35	O43143	43.8333333333333	1.96435846448871	9.36304793679209	52.9653975094432	70.6562506274107	16.6726549994032
EBOV_VP35	O43159	5.66666666666667	1.40790647674098	4.12310562561766	64.2728558568857	80.1151637939287	8.12291878244596
EBOV_VP35	O43172	6	2.04124145231932	6	529.089784441166	828.070263103169	19.8115634933678
EBOV_VP35	O43175	3.5	-0.422131323751005	1.87082869338697	1.87082869338697	1.87082869338697	1.87082869338697
EBOV_VP35	O43252	1	0.912870929175277	1.4142135623731	1.4142135623731	1.48016560898457	1.48016560898457
EBOV_VP35	O43290	2	0.899855809892846	1.73205080756888	4.7729707730092	4.7729707730092	2.05084097221806
EBOV_VP35	O43347	1	2.04124145231932	2.44948974278318	6	9.39050748043972	4.45101825354241
EBOV_VP35	O43390	18.8333333333333	1.67791790020684	7.51664818918645	117.172949096624	148.771267020349	15.0839973600535
EBOV_VP35	O43395	2.6	2.04124145231932	3.9496835316263	142.188607138547	222.537196494638	11.2326922894872
EBOV_VP35	O43396	2.66666666666667	-1.07113290139676	1.63299316185545	1.63299316185545	1.63299316185545	1.63299316185545
EBOV_VP35	O43447	2	1.79284291400159	2.44948974278318	12.7279220613579	16.4644419461165	4.17009017833276
EBOV_VP35	O43482	4.16666666666667	0.241121411085208	2.04124145231932	2.04124145231932	2.04124145231932	2.04124145231932
EBOV_VP35	O43660	8.66666666666667	1.63337625331068	5.09901951359278	79.4858477969506	100.418079561853	10.1814421383227
EBOV_VP35	O43663	1	1.29099444873581	1.73205080756888	1.73205080756888	2.15582467177851	2.15582467177851
EBOV_VP35	O43665	3.66666666666667	0.885286119332641	1.91485421551268	1.91485421551268	1.91485421551268	1.91485421551268
EBOV_VP35	O43670	1	-0.315440148938256	1.4142135623731	1.4142135623731	1.72733688170499	1.72733688170499
EBOV_VP35	O43677	4	1.15934723940042	2	2	2	2
EBOV_VP35	O43684	6	0.143554637872174	2.44948974278318	2.44948974278318	2.44948974278318	2.44948974278318
EBOV_VP35	O43734	3	-1.14660283990486	1.73205080756888	1.73205080756888	1.73205080756888	1.73205080756888
